datetime,White,Black,Winner,Elo White Before,Elo Black Before,Elo White After,Elo Black After
2021_04_07_19_26_40,RAVE_1000,FLAT_1000,RAVE_1000,1108,1038,1116,1029
2021_04_07_19_26_40,FLAT_1000,RAVE_1000,RAVE_1000,1029,1116,1021,1123
2021_04_07_19_26_40,SHUSS_1000_C16,FLAT_1000,SHUSS_1000_C16,1245,1021,1249,1016
2021_04_07_19_26_40,FLAT_1000,SHUSS_1000_C16,SHUSS_1000_C16,1016,1249,1011,1253
2021_04_07_19_26_40,SHUSS_1000_C64,RAVE_1000,SHUSS_1000_C64,1331,1123,1335,1118
2021_04_07_19_26_40,RAVE_1000,SHUSS_1000_C64,SHUSS_1000_C64,1118,1335,1113,1339
2021_04_07_19_26_40,SH_1000,GRAVE_1000,SH_1000,1184,1260,1196,1247
2021_04_07_19_26_40,GRAVE_1000,SH_1000,GRAVE_1000,1247,1196,1255,1187
2021_04_07_19_26_40,SH_1000,UCB_1000,SH_1000,1187,1085,1194,1077
2021_04_07_19_26_40,UCB_1000,SH_1000,SH_1000,1077,1194,1070,1200
2021_04_07_19_26_40,RAVE_1000,UCB_1000,RAVE_1000,1113,1070,1121,1061
2021_04_07_19_26_40,UCB_1000,RAVE_1000,RAVE_1000,1061,1121,1052,1129
2021_04_07_19_26_40,SHUSS_1000_C128,UCT_1000,SHUSS_1000_C128,1220,1173,1228,1164
2021_04_07_19_26_40,UCT_1000,SHUSS_1000_C128,UCT_1000,1164,1228,1175,1216
2021_04_07_19_26_40,GRAVE_1000,RAVE_1000,RAVE_1000,1255,1129,1241,1142
2021_04_07_19_26_40,RAVE_1000,GRAVE_1000,RAVE_1000,1142,1241,1154,1228
2021_04_07_19_26_40,SHUSS_1000_C256,FLAT_1000,SHUSS_1000_C256,1215,1011,1219,1006
2021_04_07_19_26_40,FLAT_1000,SHUSS_1000_C256,SHUSS_1000_C256,1006,1219,1001,1223
2021_04_07_19_26_40,SHUSS_1000_C128,FLAT_1000,SHUSS_1000_C128,1216,1001,1220,996
2021_04_07_19_26_40,FLAT_1000,SHUSS_1000_C128,SHUSS_1000_C128,996,1220,991,1224
2021_04_07_19_26_40,UCB_1000,FLAT_1000,UCB_1000,1052,991,1060,982
2021_04_07_19_26_40,FLAT_1000,UCB_1000,UCB_1000,982,1060,974,1067
2021_04_07_19_26_40,SHUSS_1000_C64,GRAVE_1000,SHUSS_1000_C64,1339,1228,1345,1221
2021_04_07_19_26_40,GRAVE_1000,SHUSS_1000_C64,SHUSS_1000_C64,1221,1345,1214,1351
2021_04_07_19_26_40,UCB_1000,FLAT_1000,UCB_1000,1067,974,1074,966
2021_04_07_19_26_40,FLAT_1000,UCB_1000,UCB_1000,966,1074,959,1080
2021_04_07_19_26_40,GRAVE_1000,FLAT_1000,GRAVE_1000,1214,959,1217,955
2021_04_07_19_26_40,FLAT_1000,GRAVE_1000,GRAVE_1000,955,1217,951,1220
2021_04_07_19_26_40,SHUSS_1000_C64,UCT_1000,SHUSS_1000_C64,1351,1175,1356,1169
2021_04_07_19_26_40,UCT_1000,SHUSS_1000_C64,SHUSS_1000_C64,1169,1356,1163,1361
2021_04_07_19_26_40,SHUSS_1000_C128,UCT_1000,UCT_1000,1224,1163,1212,1174
2021_04_07_19_26_40,UCT_1000,SHUSS_1000_C128,SHUSS_1000_C128,1174,1212,1165,1220
2021_04_07_19_26_40,SHUSS_1000_C64,FLAT_1000,SHUSS_1000_C64,1361,951,1362,949
2021_04_07_19_26_40,FLAT_1000,SHUSS_1000_C64,FLAT_1000,949,1362,967,1343
2021_04_07_19_26_40,SHUSS_1000_C64,GRAVE_1000,GRAVE_1000,1343,1220,1329,1233
2021_04_07_19_26_40,GRAVE_1000,SHUSS_1000_C64,GRAVE_1000,1233,1329,1245,1316
2021_04_07_19_26_40,SHUSS_1000_C16,SHUSS_1000_C256,SHUSS_1000_C256,1253,1223,1242,1233
2021_04_07_19_26_40,SHUSS_1000_C256,SHUSS_1000_C16,SHUSS_1000_C16,1233,1242,1223,1251
2021_04_07_19_26_40,SHUSS_1000_C64,RAVE_1000,SHUSS_1000_C64,1316,1154,1321,1148
2021_04_07_19_26_40,RAVE_1000,SHUSS_1000_C64,SHUSS_1000_C64,1148,1321,1142,1326
2021_04_07_19_26_40,SHUSS_1000_C16,SH_1000,SHUSS_1000_C16,1251,1200,1259,1191
2021_04_07_19_26_40,SH_1000,SHUSS_1000_C16,SHUSS_1000_C16,1191,1259,1182,1267
2021_04_07_19_26_40,SHUSS_1000_C128,RAVE_1000,Error,1220,1142,1220,1142
2021_04_07_19_26_40,RAVE_1000,SHUSS_1000_C128,Error,1142,1220,1142,1220
2021_04_07_19_26_40,RAVE_1000,FLAT_1000,RAVE_1000,1142,967,1147,961
2021_04_07_19_26_40,FLAT_1000,RAVE_1000,RAVE_1000,961,1147,955,1152
2021_04_07_19_26_40,SHUSS_1000_C16,SHUSS_1000_C128,SHUSS_1000_C16,1267,1220,1275,1211
2021_04_07_19_26_40,SHUSS_1000_C128,SHUSS_1000_C16,SHUSS_1000_C128,1211,1275,1222,1263
