Unnamed: 0,datetime,White,Black,Winner,Elo White Before,Elo Black Before,Elo White After,Elo Black After
,2021_04_08_14_15_58,RAVE_1000,SHUSS_1000_C64,SHUSS_1000_C64,1112,1372,1108,1375
,2021_04_08_14_15_58,SHUSS_1000_C64,GRAVE_1000,GRAVE_1000,1375,1142,1359,1157
,2021_04_08_14_15_58,GRAVE_1000,SHUSS_1000_C64,SHUSS_1000_C64,1157,1359,1152,1363
,2021_04_08_14_15_58,SHUSS_1000_C128,SHUSS_1000_C256,SHUSS_1000_C128,1347,1306,1355,1297
,2021_04_08_14_15_58,SHUSS_1000_C256,SHUSS_1000_C128,SHUSS_1000_C256,1297,1355,1308,1343
,2021_04_08_14_15_58,SHUSS_1000_C16,RAVE_1000,Error,1284,1108,1284,1108
,2021_04_08_14_15_58,RAVE_1000,SHUSS_1000_C16,SHUSS_1000_C16,1108,1284,1102,1289
,2021_04_08_14_15_58,SHUSS_1000_C64,FLAT_1000,SHUSS_1000_C64,1363,966,1364,964
,2021_04_08_14_15_58,FLAT_1000,SHUSS_1000_C64,SHUSS_1000_C64,964,1364,962,1365
,2021_04_08_14_15_58,SHUSS_1000_C64,SH_1000,SHUSS_1000_C64,1365,1097,1368,1093
,2021_04_08_14_15_58,SH_1000,SHUSS_1000_C64,SHUSS_1000_C64,1093,1368,1089,1371
,2021_04_08_14_15_58,UCT_1000,RAVE_1000,UCT_1000,1183,1102,1190,1094
,2021_04_08_14_15_58,RAVE_1000,UCT_1000,UCT_1000,1094,1190,1086,1197
,2021_04_08_14_15_58,RAVE_1000,FLAT_1000,RAVE_1000,1086,962,1092,955
,2021_04_08_14_15_58,FLAT_1000,RAVE_1000,RAVE_1000,955,1092,948,1098
,2021_04_08_14_15_58,UCT_1000,UCB_1000,UCT_1000,1197,972,1201,967
,2021_04_08_14_15_58,UCB_1000,UCT_1000,UCT_1000,967,1201,962,1205
,2021_04_08_14_15_58,SHUSS_1000_C128,UCT_1000,UCT_1000,1343,1205,1329,1218
,2021_04_08_14_15_58,UCT_1000,SHUSS_1000_C128,SHUSS_1000_C128,1218,1329,1211,1335
,2021_04_08_14_15_58,SHUSS_1000_C256,GRAVE_1000,SHUSS_1000_C256,1308,1152,1313,1146
,2021_04_08_14_15_58,GRAVE_1000,SHUSS_1000_C256,SHUSS_1000_C256,1146,1313,1140,1318
,2021_04_08_14_15_58,SH_1000,UCB_1000,SH_1000,1089,962,1095,955
,2021_04_08_14_15_58,UCB_1000,SH_1000,SH_1000,955,1095,948,1101
,2021_04_08_14_15_58,SHUSS_1000_C64,SHUSS_1000_C128,SHUSS_1000_C128,1371,1335,1359,1346
,2021_04_08_14_15_58,SHUSS_1000_C128,SHUSS_1000_C64,SHUSS_1000_C64,1346,1359,1336,1368
,2021_04_08_14_15_58,RAVE_1000,UCB_1000,UCB_1000,1098,948,1083,962
,2021_04_08_14_15_58,UCB_1000,RAVE_1000,RAVE_1000,962,1083,955,1089
,2021_04_08_14_15_58,GRAVE_1000,UCB_1000,GRAVE_1000,1140,955,1145,949
,2021_04_08_14_15_58,UCB_1000,GRAVE_1000,GRAVE_1000,949,1145,944,1149
