white_bot,black_bot,score,time
SHUSS_1000_C64,SHUSS_1000_C256,1.0,149.14286065500346
SHUSS_1000_C256,SHUSS_1000_C64,0.0,55.45700948299782
SHUSS_1000_C128,FLAT_1000,0.0,72.3274174130056
FLAT_1000,SHUSS_1000_C128,0.0,162.322391728987
SHUSS_1000_C256,UCB_1000,1.0,127.05251177000173
UCB_1000,SHUSS_1000_C256,0.0,88.99104165799508
SHUSS_1000_C16,SHUSS_1000_C64,1.0,161.41925276399706
SHUSS_1000_C64,SHUSS_1000_C16,1.0,238.69426057100645
SHUSS_1000_C256,RAVE_1000,1.0,118.93401946099766
RAVE_1000,SHUSS_1000_C256,0.0,210.17149917199276
UCT_1000,UCB_1000,1.0,69.32645879400661
UCB_1000,UCT_1000,0.0,185.05299037200166
SHUSS_1000_C16,GRAVE_1000,0.0,278.69182798500697
GRAVE_1000,SHUSS_1000_C16,1.0,69.26180582000234
SHUSS_1000_C256,FLAT_1000,1.0,95.65962820600544
FLAT_1000,SHUSS_1000_C256,0.0,177.6038068689959
SHUSS_1000_C64,GRAVE_1000,1.0,121.80206434200227
GRAVE_1000,SHUSS_1000_C64,1.0,107.89473592099966
SHUSS_1000_C256,GRAVE_1000,1.0,242.4981154200068
GRAVE_1000,SHUSS_1000_C256,0.0,165.56023074800032
SH_1000,FLAT_1000,1.0,83.51224929399905
FLAT_1000,SH_1000,0.0,81.7433328969928
SHUSS_1000_C128,RAVE_1000,,272.51201831700746
RAVE_1000,SHUSS_1000_C128,0.0,201.3771572889964
RAVE_1000,UCB_1000,1.0,146.61128226100118
UCB_1000,RAVE_1000,1.0,495.2884145200078
SHUSS_1000_C128,UCT_1000,1.0,332.13155662499776
UCT_1000,SHUSS_1000_C128,0.0,254.75178259100358
UCT_1000,RAVE_1000,1.0,355.9282330140122
RAVE_1000,UCT_1000,0.0,265.745508299995
SHUSS_1000_C16,SHUSS_1000_C128,0.0,302.04494537599385
SHUSS_1000_C128,SHUSS_1000_C16,0.0,264.5611573089991
SHUSS_1000_C16,UCT_1000,0.0,301.8817413430079
UCT_1000,SHUSS_1000_C16,0.0,106.36170066500199
RAVE_1000,FLAT_1000,1.0,211.47310475401173
FLAT_1000,RAVE_1000,0.0,150.40525488900312
SHUSS_1000_C16,UCB_1000,1.0,272.6639432529919
UCB_1000,SHUSS_1000_C16,0.0,79.43185514598736
SHUSS_1000_C16,RAVE_1000,1.0,370.6673310549959
RAVE_1000,SHUSS_1000_C16,1.0,328.85806208600115
GRAVE_1000,FLAT_1000,1.0,277.62120437099657
FLAT_1000,GRAVE_1000,0.0,57.573630116996355
SHUSS_1000_C256,SH_1000,0.0,118.09505962999538
SH_1000,SHUSS_1000_C256,0.0,187.32771507599682
UCT_1000,GRAVE_1000,1.0,153.87452060799114
GRAVE_1000,UCT_1000,1.0,331.46917283801304
